,Quantity,EmployeeId,MonthsInJob,YrsInJob
0,45.0,1.0,100,8.0
1,36.0,1.0,100,8.0
2,40.0,1.0,100,8.0
3,50.0,1.0,119,10.0
4,20.0,1.0,119,10.0
5,90.0,1.0,119,10.0
6,54.0,1.0,103,9.0
7,55.0,1.0,103,9.0
8,40.0,1.0,116,10.0
9,50.0,1.0,116,10.0
10,24.0,1.0,120,10.0
11,2.0,1.0,120,10.0
12,4.0,1.0,120,10.0
13,4.0,1.0,120,10.0
14,1.0,1.0,120,10.0
15,1.0,1.0,120,10.0
16,2.0,1.0,120,10.0
17,1.0,1.0,120,10.0
18,2.0,1.0,120,10.0
19,2.0,1.0,120,10.0
20,1.0,1.0,120,10.0
21,2.0,1.0,120,10.0
22,1.0,1.0,120,10.0
23,2.0,1.0,120,10.0
24,2.0,1.0,120,10.0
25,2.0,1.0,120,10.0
26,2.0,1.0,120,10.0
27,2.0,1.0,120,10.0
28,1.0,1.0,120,10.0
29,1.0,1.0,120,10.0
30,1.0,1.0,120,10.0
31,4.0,1.0,120,10.0
32,3.0,1.0,120,10.0
33,3.0,1.0,120,10.0
34,2.0,1.0,120,10.0
35,20.0,1.0,104,9.0
36,60.0,1.0,104,9.0
37,70.0,1.0,104,9.0
38,18.0,1.0,104,9.0
39,50.0,1.0,110,9.0
40,9.0,1.0,110,9.0
41,25.0,1.0,101,8.0
42,40.0,1.0,101,8.0
43,30.0,1.0,101,8.0
44,70.0,1.0,101,8.0
45,10.0,1.0,101,8.0
46,10.0,1.0,112,9.0
47,1.0,1.0,112,9.0
48,20.0,1.0,112,9.0
49,8.0,1.0,112,9.0
50,15.0,1.0,112,9.0
51,4.0,1.0,112,9.0
52,4.0,1.0,119,10.0
53,20.0,1.0,119,10.0
54,9.0,1.0,115,10.0
55,40.0,1.0,115,10.0
56,28.0,1.0,115,10.0
57,6.0,1.0,115,10.0
58,6.0,1.0,103,9.0
59,25.0,1.0,99,8.0
60,30.0,1.0,99,8.0
61,10.0,1.0,100,8.0
62,6.0,1.0,100,8.0
63,5.0,1.0,100,8.0
64,12.0,1.0,100,8.0
65,20.0,1.0,120,10.0
66,5.0,1.0,117,10.0
67,12.0,1.0,117,10.0
68,20.0,1.0,117,10.0
69,15.0,1.0,117,10.0
70,30.0,1.0,100,8.0
71,10.0,1.0,100,8.0
72,2.0,1.0,100,8.0
73,70.0,1.0,111,9.0
74,15.0,1.0,111,9.0
75,20.0,1.0,111,9.0
76,30.0,1.0,111,9.0
77,20.0,1.0,111,9.0
78,70.0,1.0,111,9.0
79,15.0,1.0,111,9.0
80,42.0,1.0,103,9.0
81,7.0,1.0,101,8.0
82,6.0,1.0,101,8.0
83,10.0,1.0,116,10.0
84,15.0,1.0,116,10.0
85,3.0,1.0,116,10.0
86,30.0,1.0,103,9.0
87,15.0,1.0,103,9.0
88,60.0,1.0,109,9.0
89,40.0,1.0,109,9.0
90,3.0,1.0,109,9.0
91,35.0,1.0,113,9.0
92,60.0,1.0,108,9.0
93,15.0,1.0,108,9.0
94,2.0,1.0,108,9.0
95,10.0,1.0,108,9.0
96,20.0,1.0,111,9.0
97,20.0,1.0,111,9.0
98,12.0,1.0,111,9.0
99,25.0,1.0,114,10.0
100,16.0,1.0,114,10.0
101,20.0,1.0,114,10.0
102,25.0,1.0,104,9.0
103,7.0,1.0,104,9.0
104,70.0,1.0,104,9.0
105,32.0,1.0,104,9.0
106,42.0,1.0,104,9.0
107,20.0,1.0,119,10.0
108,55.0,1.0,119,10.0
109,40.0,1.0,119,10.0
110,120.0,1.0,118,10.0
